Symbol,Name,Underlying Symbol,Strike,Expiration Date,Price,Change,Change %,Bid,Ask,Volume,Open Interest
"NVDA260123C00200000","NVDA Jan 2026 200.000 call","NVDA","200.00","2026-01-22","0.19 -0.07 (-26.92%)","-0.07","-26.92%","0.14","0.15","35,388","27,336"
"TSLA260123P00440000","TSLA Jan 2026 440.000 put","TSLA","440.00","2026-01-22","8.80 -0.83 (-8.62%)","-0.83","-8.62%","8.75","8.95","35,293","3,622"
"VIX260218C00025000","I:VIX Feb 2026 25.000 call","^VIX","25.00","2026-02-17","0.92 +0.01 (+1.10%)","+0.01","+1.10%","0.65","2.00","35,017","206,920"
"HYG260515P00071000","HYG May 2026 71.000 put","HYG","71.00","2026-05-14","0.14 0.00 (0.00%)","0.00","0.00%","0.05","0.34","35,010","35,010"
"TLT260123C00088500","TLT Jan 2026 88.500 call","TLT","88.50","2026-01-22","0.14 -0.23 (-62.16%)","-0.23","-62.16%","0.14","0.15","34,712","12,319"
"GLD260130C00425000","GLD Jan 2026 425.000 call","GLD","425.00","2026-01-29","5.73 -1.27 (-18.14%)","-1.27","-18.14%","5.45","5.90","34,573","152,793"
"HYG260417P00079000","HYG Apr 2026 79.000 put","HYG","79.00","2026-04-16","0.48 0.00 (0.00%)","0.00","0.00%","0.26","0.75","34,270","133,352"
"EEM260320C00062000","EEM Mar 2026 62.000 call","EEM","62.00","2026-03-19","0.39 -0.10 (-20.41%)","-0.10","-20.41%","0.36","0.40","34,082","28,796"
"HYG260417P00072000","HYG Apr 2026 72.000 put","HYG","72.00","2026-04-16","0.10 0.00 (0.00%)","0.00","0.00%","0.06","0.18","33,680","33,720"
"IWM260123P00260000","IWM Jan 2026 260.000 put","IWM","260.00","2026-01-22","0.57 -0.21 (-26.92%)","-0.21","-26.92%","0.54","0.56","33,019","8,720"
"NVDA260123P00187500","NVDA Jan 2026 187.500 put","NVDA","187.50","2026-01-22","3.76 +0.16 (+4.44%)","+0.16","+4.44%","3.70","3.80","32,587","5,086"
"EEM260220C00059000","EEM Feb 2026 59.000 call","EEM","59.00","2026-02-19","0.75 -0.22 (-22.68%)","-0.22","-22.68%","0.72","0.78","32,557","54,437"
"TSLA260123C00450000","TSLA Jan 2026 450.000 call","TSLA","450.00","2026-01-22","3.15 -1.45 (-31.52%)","-1.45","-31.52%","3.10","3.20","32,555","10,070"
"VIX260121C00016500","I:VIX Jan 2026 16.500 call","^VIX","16.50","2026-01-20","0.67 -0.03 (-4.29%)","-0.03","-4.29%","0.58","0.70","31,403","56,947"
"CLOV260130P00002500","CLOV Jan 2026 2.500 put","CLOV","2.50","2026-01-29","0.17 +0.07 (+70.00%)","+0.07","+70.00%","0.11","0.15","30,059","13,281"
"HTZ260220P00009000","HTZ Feb 2026 9.000 put","HTZ","9.00","2026-02-19","3.49 0.00 (0.00%)","0.00","0.00%","3.25","3.70","30,000","117,501"
"GLD260417P00400000","GLD Apr 2026 400.000 put","GLD","400.00","2026-04-16","7.30 +0.59 (+8.79%)","+0.59","+8.79%","7.20","7.40","29,862","951"
"ETHA260123C00025500","ETHA Jan 2026 25.500 call","ETHA","25.50","2026-01-22","0.38 -0.09 (-19.15%)","-0.09","-19.15%","0.35","0.40","29,458","5,682"
"SPY260120C00696000","SPY Jan 2026 696.000 call","SPY","696.00","2026-01-19","0.30 -0.68 (-69.39%)","-0.68","-69.39%","0.29","0.30","29,353","3,229"
"HYG260220P00079000","HYG Feb 2026 79.000 put","HYG","79.00","2026-02-19","0.14 +0.01 (+7.69%)","+0.01","+7.69%","0.12","0.16","29,202","365,220"
"JBLU260123C00005500","JBLU Jan 2026 5.500 call","JBLU","5.50","2026-01-22","0.12 +0.08 (+200.00%)","+0.08","+200.00%","0.12","0.13","28,881","676"
"NVDA260123P00180000","NVDA Jan 2026 180.000 put","NVDA","180.00","2026-01-22","1.16 -0.01 (-0.85%)","-0.01","-0.85%","1.15","1.16","28,779","17,249"
"SPY260120P00689000","SPY Jan 2026 689.000 put","SPY","689.00","2026-01-19","1.03 -0.55 (-34.81%)","-0.55","-34.81%","1.04","1.05","28,365","2,842"
"IWD260220P00185000","IWD Feb 2026 185.000 put","IWD","185.00","2026-02-19","0.16 0.00 (0.00%)","0.00","0.00%","0.05","0.25","28,000","4,887"
"VALE260320C00014000","VALE Mar 2026 14.000 call","VALE","14.00","2026-03-19","1.02 -0.11 (-9.73%)","-0.11","-9.73%","1.00","1.09","27,930","18,341"
"SPY260220P00660000","SPY Feb 2026 660.000 put","SPY","660.00","2026-02-19","3.51 0.00 (0.00%)","0.00","0.00%","3.50","3.53","27,761","44,580"
"GLD260417C00450000","GLD Apr 2026 450.000 call","GLD","450.00","2026-04-16","9.67 -0.50 (-4.92%)","-0.50","-4.92%","9.60","10.20","27,580","2,693"
"VIX260218C00020000","I:VIX Feb 2026 20.000 call","^VIX","20.00","2026-02-17","1.55 +0.03 (+1.97%)","+0.03","+1.97%","1.45","2.05","27,346","160,570"
"AAPL260123C00257500","--","AAPL","--","2026-01-22","1.85 -1.85 (-50.00%)","-1.85","-50.00%","1.84","1.96","26,898","3,760"
"GLD260320C00440000","GLD Mar 2026 440.000 call","GLD","440.00","2026-03-19","9.25 -0.67 (-6.75%)","-0.67","-6.75%","9.20","9.70","26,888","18,917"
"VIX260121C00018000","I:VIX Jan 2026 18.000 call","^VIX","18.00","2026-01-20","0.35 -0.03 (-7.89%)","-0.03","-7.89%","0.27","0.39","26,443","107,121"
"HYG260320C00082000","HYG Mar 2026 82.000 call","HYG","82.00","2026-03-19","0.02 -0.02 (-50.00%)","-0.02","-50.00%","0.02","0.04","26,194","18,363"
"META260123C00640000","META Jan 2026 640.000 call","META","640.00","2026-01-22","1.70 -0.84 (-33.07%)","-0.84","-33.07%","1.68","1.71","26,054","3,481"
"IBIT260123C00055000","IBIT Jan 2026 55.000 call","IBIT","55.00","2026-01-22","0.64 -0.16 (-20.00%)","-0.16","-20.00%","0.62","0.66","25,762","9,989"
"NVDA260123C00187500","NVDA Jan 2026 187.500 call","NVDA","187.50","2026-01-22","2.50 -0.80 (-24.24%)","-0.80","-24.24%","2.50","2.51","25,698","11,193"
"RKT260123C00025000","RKT Jan 2026 25.000 call","RKT","25.00","2026-01-22","0.29 -0.02 (-6.45%)","-0.02","-6.45%","0.28","0.29","25,651","998"
"HYG260320P00077000","HYG Mar 2026 77.000 put","HYG","77.00","2026-03-19","0.15 +0.02 (+15.38%)","+0.02","+15.38%","0.06","0.19","25,517","167,293"
"MSTR260123C00200000","MSTR Jan 2026 200.000 call","MSTR","200.00","2026-01-22","0.77 -0.07 (-8.33%)","-0.07","-8.33%","0.77","0.80","25,288","14,671"
"NVDA260130C00190000","NVDA Jan 2026 190.000 call","NVDA","190.00","2026-01-29","3.45 -0.60 (-14.81%)","-0.60","-14.81%","3.40","3.45","25,194","18,671"
"GLD260320P00400000","GLD Mar 2026 400.000 put","GLD","400.00","2026-03-19","5.37 +0.50 (+10.27%)","+0.50","+10.27%","5.25","5.45","25,185","24,234"
"GLD260320P00380000","GLD Mar 2026 380.000 put","GLD","380.00","2026-03-19","2.01 +0.22 (+12.29%)","+0.22","+12.29%","1.92","2.04","25,018","5,475"
"HYG260220P00072000","HYG Feb 2026 72.000 put","HYG","72.00","2026-02-19","0.02 0.00 (0.00%)","0.00","0.00%","0.00","0.09","25,010","65,901"
"HYG260618P00078000","HYG Jun 2026 78.000 put","HYG","78.00","2026-06-17","0.69 0.00 (0.00%)","0.00","0.00%","0.54","0.88","25,005","62,161"
"EMB260320P00091000","EMB Mar 2026 91.000 put","EMB","91.00","2026-03-19","0.45 0.00 (0.00%)","0.00","0.00%","0.00","1.35","25,001","25,021"
"EMB260320P00094000","EMB Mar 2026 94.000 put","EMB","94.00","2026-03-19","0.70 0.00 (0.00%)","0.00","0.00%","0.00","1.40","25,001","25,064"
"HYG260618P00070000","HYG Jun 2026 70.000 put","HYG","70.00","2026-06-17","0.17 0.00 (0.00%)","0.00","0.00%","0.00","0.40","25,000","46,755"
"GLD260417P00380000","GLD Apr 2026 380.000 put","GLD","380.00","2026-04-16","3.15 +0.30 (+10.53%)","+0.30","+10.53%","3.05","3.20","24,958","2,824"
"VIX260121C00020000","I:VIX Jan 2026 20.000 call","^VIX","20.00","2026-01-20","0.21 -0.01 (-4.55%)","-0.01","-4.55%","0.17","0.25","24,827","225,769"
"","","","","","","","","","","",""
